materialName,limitUpStocks,materialSeq,date,timestamp,materialRate,popularValue,label,humanDragon,middleTroops,dayDragon
题材ID 217,,217,2026-04-17,1776355200000,1.02,0.0,,利扬芯片(sh688135),,
题材ID 23,,23,2026-04-17,1776355200000,1.01,0.0,,巨力索具(sz002342),航天电子(sh600879),
题材ID 164,,164,2026-04-17,1776355200000,1.01,0.0,,先导基电(sh600641),江波龙(sz301308),先导基电(sh600641)
题材ID 136,,136,2026-04-17,1776355200000,0.99,0.0,,睿创微纳(sh688002),,
题材ID 240,,240,2026-04-17,1776355200000,0.97,0.0,,凌玮科技(sz301373),万华化学(sh600309),
题材ID 29,,29,2026-04-17,1776355200000,0.95,0.0,,光电股份(sh600184),航天电子(sh600879),
题材ID 51,,51,2026-04-17,1776355200000,0.95,0.0,,航天长峰(sh600855),,
题材ID 252,,252,2026-04-17,1776355200000,0.93,0.0,,利扬芯片(sh688135),海光信息(sh688041),
题材ID 55,,55,2026-04-17,1776355200000,0.92,0.0,,帝尔激光(sz300776),万华化学(sh600309),
题材ID 181,,181,2026-04-17,1776355200000,0.92,0.0,,博纳影业(sz001330),中国电影(sh600977),博纳影业(sz001330)
题材ID 10,,10,2026-04-17,1776355200000,0.9,0.0,,圣阳股份(sz002580),中际旭创(sz300308),剑桥科技(sh603083)
题材ID 16,,16,2026-04-17,1776355200000,0.89,0.0,,富临精工(sz300432),中科曙光(sh603019),
题材ID 254,,254,2026-04-17,1776355200000,0.89,0.0,,卓胜微(sz300782),卓胜微(sz300782),
题材ID 191,,191,2026-04-17,1776355200000,0.87,0.0,,博云新材(sz002297),广联航空(sz300900),
SRAM存储,,229,2026-04-17,1776355200000,0.86,0.0,,同有科技(sz300302),江波龙(sz301308),
题材ID 125,,125,2026-04-17,1776355200000,0.85,0.0,,捷安高科(sz300845),万顺新材(sz300057),
题材ID 188,,188,2026-04-17,1776355200000,0.83,0.0,,维科技术(sh600152),唯科科技(sz301196),维科技术(sh600152)
题材ID 248,,248,2026-04-17,1776355200000,0.83,0.0,,厦门钨业(sh600549),航天电子(sh600879),
题材ID 82,,82,2026-04-17,1776355200000,0.82,0.0,,美利信(sz301307),富临精工(sz300432),圣龙股份(sh603178)
题材ID 223,,223,2026-04-17,1776355200000,0.81,0.0,,思泉新材(sz301489),水晶光电(sz002273),
题材ID 67,,67,2026-04-17,1776355200000,0.8,0.0,,天通股份(sh600330),盛和资源(sh600392),天通股份(sh600330)
题材ID 2,,2,2026-04-17,1776355200000,0.79,0.0,,赛微电子(sz300456),银轮股份(sz002126),
