rank,plate_code,plate_name,strength,speed,change_percent,amount,main_net_amount,main_buy_amount,main_sell_amount,volume_ratio,float_market_value,large_order_net_amount,raw_columns
50,801992,文交所,30,0.308,0,2231339331,0,0,0,1.076,36977428531,0,19
51,801705,超导概念,27,1.5,-0.072,36610806309,112473599,741113103,-628639504,1.181,710494470767,7130439,19
52,801909,可转债,24,0.243,0.575,79058914484,41148203,9187502850,-9146354647,1.027,0,-13569334,19
53,801418,民营医院,22,0.962,0.013,20656544463,-67139634,368470761,-435610395,1.074,687592510145,-6971159,19
54,801376,健康中国,22,0.224,0.135,40532947441,70430197,579350160,-508919963,1.112,1496503091690,8866961,19
55,801764,西藏自治区,21,0.218,0.04,9091356338,3765157,4377129,-611972,1.151,288177738187,0,19
56,801057,石油石化,12,-1.371,0.177,33132341787,-1132666007,5567631785,-6700297792,0.743,3970994856324,-136406902,19
57,801117,港口,9,0.1,0.144,1938391733,-26692467,438950318,-465642785,0.68,496716315720,-5533497,19
58,801415,电子发票,6,0.069,0,1258263927,0,0,0,1.368,61514589201,0,19
59,801694,非金属材料,6,0.067,-0.246,5478499518,-2121072,900710559,-902831631,1.038,130305301028,161868272,19
60,803012,SOFC电池,5,-1.444,0,12669455942,-5990480,12581680,-18572160,1.076,528725200404,0,19
61,801964,压缩机,3,0.037,0.01,8370002535,5227630,202959260,-197731630,0.891,425189506655,13010932,19
62,801595,北交所,1,0.02,1.212,14418571332,0,0,0,0.97,514647361460,0,19
63,801246,水务,-2,-0.023,-0.046,1821577468,8850556,71064686,-62214130,1.023,143850909089,4074722,19
64,801391,美容护理,-4,0.163,0.066,9780301425,-19168568,190680708,-209849276,1.343,389696213752,-12552341,19
65,801850,食品安全,-4,-0.045,0.227,14284887665,-28776513,92030821,-120807334,1.103,517627632149,4602518,19
66,801251,送转预期,-7,-0.075,0.35,6621940440,24783505,59091130,-34307625,1.13,180813715702,0,19
67,801138,超级电容,-9,-0.092,0.005,32856041379,9865103,23061783,-13196680,1.241,683303828930,0,19
68,801970,集装箱,-10,0.906,-0.28,3266888322,-4136293,7519257,-11655550,0.925,270128555227,0,19
69,801382,分拆上市预期,-10,-0.11,-0.008,58032019354,-148523398,431821401,-580344799,1.068,2429542436666,-89097167,19
70,801733,中特估,-12,-0.029,-0.006,103709931071,33746489,386214043,-352467554,0.954,20496997367960,-35677689,19
71,801451,wifi6/7,-13,0.308,-0.072,32484320628,-84825654,125150285,-209975939,1.245,428396733720,-13611368,19
72,801662,火电灵活改造,-17,-0.172,0.054,6834061477,-285029616,1037390134,-1322419750,0.968,362896679040,-93411822,19
73,801234,航运,-19,-0.194,0.106,20715885139,-253957715,2059045484,-2313003199,0.748,1373786852945,-100962159,19
74,801351,科创板,-19,-0.009,1.089,294668764570,-227061447,4283514004,-4510575451,1.078,9564738563939,-156647914,19
75,801149,社区团购,-22,-0.222,0.153,4478523974,-10029612,53613467,-63643079,1.017,261689799053,-3592845,19
76,801742,内蒙古自治区,-24,-0.243,-0.09,20656155626,-4831095,17234596,-22065691,0.714,1015840696446,0,19
77,801443,转基因,-29,-0.293,0.001,3245576179,-13967467,211179680,-225147147,0.908,141172949588,14134259,19
78,801396,云游戏,-32,0.424,-0.059,20582875563,49151121,976720138,-927569017,0.952,289000791610,-46273613,19
79,801651,湖南,-33,-0.13,0.101,42967723112,-31793158,577697200,-609490358,1.045,1546131346396,-35811763,19
80,801754,江苏省,-36,-0.246,0.344,291231200624,-101063262,2910605284,-3011668546,1.01,8454249553382,-101051031,19
