rank,plate_code,plate_name,strength,speed,change_percent,amount,main_net_amount,main_buy_amount,main_sell_amount,volume_ratio,float_market_value,large_order_net_amount,raw_columns
1,801045,医药,7470,0.961,1.065,215505478327,3023319457,36001240861,-32977921404,1.187,7764195611968,1262149157,19
2,801807,算力,5187,-0.521,0.696,843577446848,-4000737845,71708333587,-75709071432,1.064,21551895455520,-1418263257,19
3,801843,商业航天,3792,-0.293,0.329,391100222451,1363459503,19560287209,-18196827706,1.097,9510571875904,1515274203,19
4,801314,ST板块,2628,-0.21,0.99,14152998220,-106659664,1847096435,-1953756099,1.067,731731348553,-47527088,19
5,801408,智能家居,2474,0.002,0.447,82631148136,403013683,1609509457,-1206495774,1.099,3102534558464,147332413,19
6,801571,一季报增长,2091,-0.339,0.378,236316948420,-510627670,9429541516,-9940169186,2.167,5703956185088,258108609,19
7,801001,芯片,1993,-0.702,0.567,870341670667,-15437408124,165871641719,-181309049843,1.034,22430876537216,-8008205556,19
8,801346,智能电网,1757,-0.045,1.086,341129945059,2194556281,34597787087,-32403230806,1.157,10330021335552,1285845488,19
9,801250,并购重组,1741,-0.631,0.781,329791990474,-161802695,3771945404,-3933748099,1.022,12967645260672,254640187,19
10,801033,国有企业,1440,-0.498,0.336,620409350676,-90866515,7666730996,-7757597511,0.999,39278325091648,293744430,19
11,801631,次新股,1307,1.152,0.676,36775636307,586392941,1286053461,-699660520,1.089,287575960154,521179680,19
12,801270,基础建设,955,-0.352,0.634,155406859933,-265505155,9912313085,-10177818240,1.024,7044858562714,246498675,19
13,803014,海峡两岸,944,-0.378,0.949,185339877005,174074178,1235078008,-1061003830,0.934,6080388184384,126923424,19
14,801328,消费电子,877,-0.558,0.6,528276783640,-1296422610,13586473031,-14882895641,1.011,14205115804160,17146067,19
15,801046,医疗器械,817,0.27,0.867,102330024768,-1685158,4605448549,-4607133707,1.058,4183109215548,-4231328,19
16,801069,家电,744,-0.19,0.423,79301433333,295090499,3621419381,-3326328882,1.185,3127491421664,108838272,19
17,801973,保健品,582,1.341,0.131,31907623091,138355611,1672346178,-1533990567,1.384,1425738891194,36656875,19
18,801243,宠物经济,563,1.119,0.137,24674400597,112644400,708882586,-596238186,1.177,1084354899100,75024208,19
19,801082,ST摘帽,541,0.918,-0.178,8561892196,29614522,227493793,-197879271,1.312,229775866625,42160721,19
20,801220,食品饮料,484,-0.067,0.403,39751563450,-116667973,2409400431,-2526068404,1.126,2467521371515,-102296908,19
21,801159,机器人概念,480,-0.525,0.728,549076048554,-730695122,20835403762,-21566098884,1.026,18656032713832,43765444,19
22,801574,年报增长,471,-0.365,0.609,1212034329038,-466108247,9496948604,-9963056851,1.043,53411091049472,-313341996,19
23,801330,旅游,463,-0.369,0.181,29104985953,170714492,1941950934,-1771236442,1.082,1211692366656,26948902,19
24,801350,一带一路,448,-0.451,0.481,325514284872,-308970160,6177817504,-6486787664,0.909,14900375680074,223765262,19
25,801016,稀土永磁,404,-0.951,0.273,55490167863,-1543975598,6465115382,-8009090980,0.801,1595690061767,-572763782,19
26,801379,碳纤维,402,-0.307,0.205,34922282972,622071895,3203708330,-2581636435,0.979,1151864871771,706398123,19
27,801660,通信,355,-0.693,1.161,679290316443,-26045689843,152003290981,-178048980824,0.994,15508115074112,-9701789566,19
28,801580,发电机,334,-0.66,0.009,18458326345,199753779,2624466515,-2424712736,0.992,653163045221,193776274,19
29,801067,面板,324,-0.585,0.262,195658220750,-1241649959,10324144407,-11565794366,1.062,4532566278528,-313690039,19
30,801874,电源,314,-0.704,0.054,70168881058,209198956,2071633965,-1862435009,1.165,2769438176709,480090027,19
31,801039,机场航空,277,-0.229,0.025,6951219988,235436702,2024315435,-1788878733,1.132,606724925294,101858925,19
32,803023,AI应用,262,-0.488,0.449,272478169404,-3895930244,16844083034,-20740013278,0.994,9239133572497,-713151119,19
33,801087,风电,247,-0.321,0.337,211330759869,-2813680973,17737854195,-20551535168,1.066,6069323312703,-908805296,19
34,801019,物流,245,-0.397,0.25,85452931718,218581517,2579004047,-2360422530,1.038,3539512118126,186638043,19
35,801235,化工,217,-1.004,0.708,300653179868,-6122948639,26958469326,-33081417965,0.918,13546435287389,-1107171014,19
36,801653,霍乱概念,205,2.837,-0.44,4882154891,-2841239,397982,-3239221,1.701,70174304014,0,19
37,801074,核电,182,-0.054,0.203,242629243796,489164456,14550862806,-14061698350,1.058,7228236576504,183609102,19
38,801085,人工智能,166,-0.387,0.583,957096630638,-4654024052,57274852136,-61928876188,0.995,29242730928672,-1521769378,19
39,801374,造船,161,-0.883,0.03,10272798901,-128049182,996831508,-1124880690,0.981,525830570293,-63064426,19
40,801322,芬太尼替代,131,1.316,0.021,2131298494,-10770886,113666692,-124437578,1.139,117073637395,-3124926,19
41,801254,防脱发,129,2.266,0,5619954873,0,0,0,1.534,203572473024,0,19
42,801654,眼科医疗,116,1.369,-0.001,18655618500,-19264149,464947982,-484212131,1.446,797295247572,20109022,19
43,801956,卫生护理,105,1.056,0.052,1817867570,40607110,222264495,-181657385,1.034,69034438257,-4935670,19
44,801027,银行,81,0.82,0.297,24197049188,619807977,10274497162,-9654689185,1.153,10163905050211,681838803,19
45,801613,幽门螺杆菌,80,1.529,0.083,8153559299,9123247,748472619,-739349372,1.317,239350993034,1778319,19
46,801880,燃气轮机,66,-0.584,-0.011,34028312336,153076181,1831425121,-1678348940,1.117,972800491720,139254972,19
47,801144,医美,45,0.978,0.142,39350236724,46916634,815891028,-768974394,1.103,1153319916913,-13369080,19
48,801862,高股息精选,36,0.431,0.232,75401776720,-21583309,1074093913,-1095677222,0.972,14874918564320,-34451409,19
49,801198,送转填权,35,0.354,0.082,452975271,4363433,25534493,-21171060,0.839,39551247838,0,19
