plate_rank,plate_code,plate_name,plate_strength,group,stock_rank,stock_code,stock_name,board_label,reason_tags,change_percent,industry
1,801045,医药,7470.0,limit_up,4,301408,华人健康,首板,AI医疗、AI应用,19.98,医药
1,801045,医药,7470.0,limit_up,19,002589,瑞康医药,首板,医药零售、新冠药概念,10.12,医药
1,801045,医药,7470.0,limit_up,20,600572,康恩贝,首板,创新药、病毒防治,10.09,医药
1,801045,医药,7470.0,limit_up,21,000788,北大医药,首板,医药、新冠药概念,10.08,医药
1,801045,医药,7470.0,limit_up,24,600267,海正药业,首板,创新药、医药零售,10.05,医药
1,801045,医药,7470.0,strong,4,301408,华人健康,首板,AI医疗、AI应用,19.98,医药
1,801045,医药,7470.0,strong,6,301017,漱玉平民,,医美、医药,15.79,医药
1,801045,医药,7470.0,strong,8,688253,英诺特,,流感、医药,14.11,医药
1,801045,医药,7470.0,strong,19,002589,瑞康医药,首板,医药零售、新冠药概念,10.12,医药
1,801045,医药,7470.0,strong,20,600572,康恩贝,首板,创新药、病毒防治,10.09,医药
1,801045,医药,7470.0,strong,21,000788,北大医药,首板,医药、新冠药概念,10.08,医药
1,801045,医药,7470.0,strong,24,600267,海正药业,首板,创新药、医药零售,10.05,医药
2,801807,算力,5187.0,limit_up,3,301189,奥尼电子,2连板,车路云、消费电子,20.0,算力
2,801807,算力,5187.0,strong,3,301189,奥尼电子,2连板,车路云、消费电子,20.0,算力
2,801807,算力,5187.0,strong,7,301248,杰创智能,,通感一体化、数字经济,14.52,算力
3,801843,商业航天,3792.0,limit_up,26,001208,华菱线缆,首板,电气设备、碳中和,10.03,商业航天
3,801843,商业航天,3792.0,strong,15,301232,飞沃科技,,商业航天、年报增长,10.81,商业航天
3,801843,商业航天,3792.0,strong,26,001208,华菱线缆,首板,电气设备、碳中和,10.03,商业航天
4,801314,ST板块,2628.0,limit_up,1,688287,*ST观典,2连板,低空经济、军工,20.25,ST板块
4,801314,ST板块,2628.0,strong,1,688287,*ST观典,2连板,低空经济、军工,20.25,ST板块
5,801408,智能家居,2474.0,limit_up,17,000785,居然智家,首板,超跌、AI智能体,10.2,智能家居
5,801408,智能家居,2474.0,limit_up,22,002798,帝欧水华,首板,装修家具、地产链,10.07,智能家居
5,801408,智能家居,2474.0,strong,17,000785,居然智家,首板,超跌、AI智能体,10.2,智能家居
5,801408,智能家居,2474.0,strong,22,002798,帝欧水华,首板,装修家具、地产链,10.07,智能家居
7,801001,芯片,1993.0,strong,5,300097,智云股份,,芯片、ST摘帽,17.44,ST摘帽
8,801346,智能电网,1757.0,limit_up,25,001896,豫能控股,首板,电力、智能电网,10.03,电力
8,801346,智能电网,1757.0,strong,14,300444,双杰电气,,变压器、智能电网,10.97,智能电网
8,801346,智能电网,1757.0,strong,25,001896,豫能控股,首板,电力、智能电网,10.03,电力
9,801250,并购重组,1741.0,strong,12,301631,壹连科技,,固态电池、锂电池,12.19,并购重组
11,801631,次新股,1307.0,limit_up,2,688805,健信超导,首板,次新股、医疗器械,20.01,次新股
11,801631,次新股,1307.0,strong,2,688805,健信超导,首板,次新股、医疗器械,20.01,次新股
14,801328,消费电子,877.0,limit_up,3,301189,奥尼电子,2连板,车路云、消费电子,20.0,算力
14,801328,消费电子,877.0,strong,3,301189,奥尼电子,2连板,车路云、消费电子,20.0,算力
15,801046,医疗器械,817.0,limit_up,2,688805,健信超导,首板,次新股、医疗器械,20.01,次新股
15,801046,医疗器械,817.0,strong,2,688805,健信超导,首板,次新股、医疗器械,20.01,次新股
16,801069,家电,744.0,strong,16,301055,张小泉,,家电、AI应用,10.22,AI应用
17,801973,保健品,582.0,limit_up,23,605388,均瑶健康,首板,食品饮料、保健品,10.06,保健品
17,801973,保健品,582.0,strong,23,605388,均瑶健康,首板,食品饮料、保健品,10.06,保健品
19,801082,ST摘帽,541.0,strong,5,300097,智云股份,,芯片、ST摘帽,17.44,ST摘帽
20,801220,食品饮料,484.0,limit_up,23,605388,均瑶健康,首板,食品饮料、保健品,10.06,保健品
20,801220,食品饮料,484.0,strong,23,605388,均瑶健康,首板,食品饮料、保健品,10.06,保健品
22,801574,年报增长,471.0,strong,15,301232,飞沃科技,,商业航天、年报增长,10.81,商业航天
27,801660,通信,355.0,strong,10,688603,天承科技,,玻璃基板、通信,13.12,通信
27,801660,通信,355.0,strong,11,688618,三旺通信,,光纤概念、通信,12.61,通信
32,803023,AI应用,262.0,limit_up,4,301408,华人健康,首板,AI医疗、AI应用,19.98,医药
32,803023,AI应用,262.0,strong,4,301408,华人健康,首板,AI医疗、AI应用,19.98,医药
32,803023,AI应用,262.0,strong,16,301055,张小泉,,家电、AI应用,10.22,AI应用
35,801235,化工,217.0,strong,13,300798,锦鸡股份,,算力租赁、分散染料,11.58,化工
47,801144,医美,45.0,strong,6,301017,漱玉平民,,医美、医药,15.79,医药
