rank,code,name,board_label,reason_tags,latest_price,change_percent,amount,turnover_rate,industry
3,300027,华谊兄弟,首板,影视院线、文化传媒,2.09,20.11,807180715,16.67,文化传媒
4,300798,锦鸡股份,首板,算力租赁、算力,13.42,20.04,999306307,27.46,算力
5,301603,乔锋智能,首板,印制电路板、通信,90.41,20,1066272322,32.64,机器人概念
6,300905,宝丽迪,首板,化工、芯片,46.32,20,438042956,11.15,化工
7,301148,嘉戎技术,首板,环保、锂电池,60.23,20,512062960,22.22,锂电池
8,688227,品高股份,首板,算力调度、算力,84.47,20,607476148,11.83,算力
9,300736,百邦科技,首板,实控人变更、消费电子,23.78,19.98,520589621,25,实控人变更
10,688287,*ST观典,3连板,低空经济、军工,2.35,19.9,143233219,34.97,ST板块
