rank,plate_code,plate_name,strength,speed,change_percent,amount,main_net_amount,main_buy_amount,main_sell_amount,volume_ratio,float_market_value,large_order_net_amount,raw_columns
102,801359,华为海思,165,1.655,0.231,26283687124,117479916,726535573,-609055657,0.927,561570526998,-14315179,19
103,801468,电子烟,164,1.649,0.067,36756759750,-135576928,3422451288,-3558028216,1.014,724987061945,-70710029,19
104,801637,文创产品,164,1.898,0.304,35532647992,2621816,885819224,-883197408,1.157,1112267087026,-19485158,19
105,801196,LED,163,1.634,0.779,9953795974,-80343736,358389575,-438733311,0.786,302575445018,-5252131,19
106,801399,智慧城市,161,1.895,0.233,110210289183,-37961419,350575229,-388536648,0.984,4009214629137,-3739149,19
107,801662,火电灵活改造,160,2.249,0.202,10526633611,18944987,155988026,-137043039,1.323,375505454224,2895830,19
108,801224,3D打印,158,1.803,0.116,47491947273,18122576,479294923,-461172347,0.91,1107372030286,-12141250,19
109,801301,体育产业,158,1.778,0.161,50138737867,35630135,1545320029,-1509689894,1.02,2013408752972,-24468337,19
110,801366,业绩增长,157,2.111,0.213,458829320742,-96259879,2326934398,-2423194277,0.569,12449481027712,-144348249,19
111,803012,SOFC电池,154,1.543,-0.05,10449397515,-1255086,31049724,-32304810,0.946,536466741314,0,19
112,801075,自主可控,153,1.707,0.009,49744501791,-104032776,657236410,-761269186,1.05,1133309098716,-36662339,19
113,801437,传感器,152,1.76,0.412,99834751502,-218990723,2034780293,-2253771016,1.025,2532712580320,-81537726,19
114,801735,中船系,149,1.49,0,6199334205,-1940615,11642414,-13583029,0.894,426356006922,3130000,19
115,801519,汽车类,148,1.741,0.446,579715862969,1633166382,17515435308,-15882268926,1.026,18473737415657,141431146,19
116,801342,超高清视频,148,1.775,0.004,52440492340,-1861653,505531785,-507393438,0.99,1930879837526,-45180992,19
117,801529,激光,148,1.837,-0.096,28775644459,-48491424,170991468,-219482892,0.894,595759407311,-12007577,19
118,801310,浙江,147,1.764,0.346,248150256588,-187739545,1984396480,-2172136025,1.11,8983101058048,-18391756,19
119,801157,智慧停车,146,1.467,0,1523251777,-2208089,34516056,-36724145,1.148,79557496318,0,19
120,801351,科创板,146,1.619,0.415,266613883439,-549283676,3922922961,-4472206637,1.03,9707384123568,-32478860,19
121,801961,影石概念,144,1.447,0,2724883747,0,0,0,0.798,73555056457,0,19
122,801636,露营经济,144,1.445,0.174,3586112760,-10525635,51486833,-62012468,1.036,190588757258,-4899138,19
123,801642,石英材料,143,1.439,-0.022,9534656703,-14346771,431430916,-445777687,0.934,244132357540,-851848,19
